game,bluetop,bluejungle,bluemid,blueadc,bluesupport,redtop,redjungle,redmid,redadc,redsupport,result
NA1/3741212090,Camille,Olaf,Syndra,Tristana,Ivern,Akali,Graves,Seraphine,Miss Fortune,Leona,1
NA1/3741501311,Camille,Fiddlesticks,Seraphine,Jhin,Thresh,Volibear,Graves,Galio,Ashe,Lulu,1
NA1/3741571128,Aatrox,Nidalee,Syndra,Jhin,Alistar,Kennen,Graves,Anivia,Ezreal,Rakan,1
NA1/3741391406,Shen,Kha'Zix,Ekko,Miss Fortune,Thresh,Aatrox,Graves,Syndra,Jhin,Nautilus,0
NA1/3741541283,Jax,Hecarim,Corki,Miss Fortune,Rell,Fiora,Skarner,Ekko,Jhin,Leona,0
NA1/3741441248,Poppy,Graves,Syndra,Lucian,Braum,Mordekaiser,Taliyah,Pantheon,Jhin,Bard,1
NA1/3741471353,Renekton,Taliyah,Akali,Jhin,Maokai,Shen,Graves,Orianna,Kai'Sa,Galio,0
NA1/3741471379,Wukong,Taliyah,Galio,Kai'Sa,Nautilus,Gragas,Graves,Corki,Aphelios,Maokai,0
NA1/3741331718,Urgot,Graves,Sylas,Samira,Maokai,Camille,Sejuani,Viktor,Jhin,Galio,1
NA1/3741222396,Camille,Skarner,Viktor,Kai'Sa,Leona,Aatrox,Lillia,Yone,Jhin,Thresh,0
NA1/3741501670,Ornn,Graves,Seraphine,Aphelios,Thresh,Malphite,Nidalee,Zoe,Kai'Sa,Maokai,0
NA1/3741411811,Shen,Hecarim,Viktor,Kai'Sa,Bard,Aatrox,Taliyah,Twisted Fate,Jhin,Maokai,1
NA1/3741232383,Aatrox,Taliyah,Lucian,Jhin,Galio,Wukong,Graves,Viktor,Samira,Leona,1
NA1/3741571679,Camille,Lillia,Orianna,Jhin,Alistar,Aatrox,Olaf,Galio,Kai'Sa,Bard,0
NA1/3741541868,Aatrox,Kayn,Orianna,Kai'Sa,Maokai,Renekton,Lillia,Viktor,Jhin,Galio,0
6971-9202,Ornn,Graves,Zoe,Jhin,Alistar,Aatrox,Pantheon,Syndra,Aphelios,Thresh,1
ESPORTSTMNT01/1690520,Camille,Taliyah,Yone,Jhin,Sett,Gnar,Nidalee,Orianna,Kai'Sa,Alistar,0
6971-9203,Wukong,Olaf,Twisted Fate,Kai'Sa,Sett,Gragas,Graves,Zoe,Samira,Leona,0
6973-9204,Ornn,Olaf,Orianna,Kai'Sa,Sett,Aatrox,Pantheon,Zoe,Vayne,Galio,0
6972-9205,Gnar,Olaf,Zoe,Jhin,Leona,Aatrox,Graves,Orianna,Kai'Sa,Rakan,1
ESPORTSTMNT01/1690549,Gnar,Pantheon,Viktor,Aphelios,Thresh,Renekton,Olaf,Syndra,Kai'Sa,Sett,1
6973-9207,Akali,Nidalee,Lucian,Kai'Sa,Alistar,Aatrox,Pantheon,Syndra,Aphelios,Sett,0
6917-9211,Shen,Pantheon,Orianna,Kai'Sa,Galio,Ornn,Graves,Syndra,Xayah,Leona,0
6972-9206,Kennen,Olaf,Zoe,Jhin,Pantheon,Malphite,Graves,Orianna,Kai'Sa,Rakan,1
ESPORTSTMNT01/1690563,Camille,Olaf,Galio,Aphelios,Thresh,Gnar,Graves,Zoe,Kai'Sa,Sett,0
6917-9212,Gnar,Pantheon,Syndra,Jhin,Shen,Aatrox,Sejuani,Viktor,Samira,Leona,0
6973-9208,Ornn,Olaf,Viktor,Kai'Sa,Alistar,Aatrox,Nidalee,Zoe,Ezreal,Sett,1
6974-9209,Camille,Nidalee,Syndra,Miss Fortune,Shen,Vladimir,Taliyah,Lucian,Jhin,Leona,1
6917-9213,Ornn,Graves,Syndra,Samira,Gragas,Camille,Olaf,Akali,Jhin,Sett,0
6918-9214,Gnar,Pantheon,Orianna,Tristana,Leona,Karma,Graves,Zoe,Jhin,Galio,0
ESPORTSTMNT01/1690580,Sett,Olaf,Orianna,Kai'Sa,Rell,Camille,Graves,Zoe,Jhin,Alistar,0
6974-9215,Kennen,Nidalee,Lucian,Miss Fortune,Alistar,Aatrox,Taliyah,Pantheon,Jhin,Maokai,1
6918-9217,Gnar,Olaf,Zoe,Tristana,Alistar,Vayne,Graves,Orianna,Lucian,Leona,0
ESPORTSTMNT01/1690585,Renekton,Taliyah,Irelia,Samira,Maokai,Ornn,Graves,Viktor,Kai'Sa,Rell,0
6974-9218,Aatrox,Nidalee,Akali,Aphelios,Thresh,Jayce,Taliyah,Galio,Miss Fortune,Leona,0
ESPORTSTMNT02/1640233,Aatrox,Graves,Syndra,Kai'Sa,Alistar,Renekton,Taliyah,Orianna,Samira,Rell,1
ESPORTSTMNT02/1640249,Sion,Taliyah,Tristana,Ashe,Leona,Ornn,Lee Sin,Ekko,Jhin,Braum,0
ESPORTSTMNT02/1640264,Jayce,Graves,Syndra,Samira,Gragas,Malphite,Kindred,Zoe,Ashe,Galio,0
ESPORTSTMNT02/1640279,Shen,Rek'Sai,Galio,Jhin,Alistar,Renekton,Lillia,Viktor,Kai'Sa,Gragas,1
6976-9219,Gragas,Kindred,Syndra,Kai'Sa,Sett,Aatrox,Graves,Galio,Xayah,Leona,0
6976-9220,Gragas,Lillia,Lucian,Kai'Sa,Sett,Aatrox,Graves,Viktor,Jhin,Leona,0
ESPORTSTMNT01/1690820,Jayce,Nidalee,Syndra,Aphelios,Thresh,Gnar,Olaf,Zoe,Miss Fortune,Leona,0
6977-9221,Aatrox,Lillia,Syndra,Kai'Sa,Sett,Renekton,Graves,Zoe,Miss Fortune,Thresh,0
6978-9222,Gragas,Graves,Orianna,Miss Fortune,Leona,Camille,Nidalee,Galio,Samira,Alistar,1
ESPORTSTMNT01/1690828,Ornn,Graves,Zoe,Samira,Alistar,Gnar,Olaf,Sylas,Jhin,Rell,0
6977-9224,Ornn,Graves,Galio,Kai'Sa,Sett,Renekton,Hecarim,Orianna,Samira,Alistar,1
6978-9223,Kennen,Olaf,Orianna,Samira,Galio,Camille,Graves,Akali,Lucian,Leona,1
6919-9227,Ornn,Graves,Galio,Samira,Gragas,Aatrox,Lillia,Twisted Fate,Kai'Sa,Thresh,1
ESPORTSTMNT01/1690841,Gnar,Olaf,Syndra,Ezreal,Alistar,Jayce,Graves,Zoe,Jhin,Galio,0
6978-9226,Aatrox,Nidalee,Zoe,Aphelios,Leona,Camille,Lillia,Yone,Jinx,Thresh,1
6919-9228,Gnar,Lillia,Twisted Fate,Vayne,Sett,Camille,Graves,Galio,Samira,Gragas,0
6980-9230,Renekton,Nidalee,Syndra,Kai'Sa,Alistar,Aatrox,Taliyah,Sett,Miss Fortune,Leona,0
ESPORTSTMNT03/1681444,Gnar,Graves,Zoe,Aphelios,Alistar,Camille,Olaf,Twisted Fate,Jhin,Gragas,0
6920-9231,Orianna,Pantheon,Ryze,Kai'Sa,Leona,Aatrox,Olaf,Viktor,Aphelios,Galio,0
6920-9234,Malphite,Olaf,Orianna,Kai'Sa,Leona,Sylas,Pantheon,Viktor,Aphelios,Thresh,1
ESPORTSTMNT03/1681477,Ornn,Olaf,Orianna,Samira,Seraphine,Lulu,Graves,Zoe,Vayne,Braum,0
6920-9233,Aatrox,Nidalee,Azir,Samira,Maokai,Gnar,Lillia,Orianna,Xayah,Alistar,1
ESPORTSTMNT03/1681511,Gragas,Kindred,Orianna,Kai'Sa,Sett,Aatrox,Graves,Zoe,Jhin,Seraphine,0
ESPORTSTMNT02/1640319,Renekton,Taliyah,Lucian,Xayah,Braum,Akali,Lee Sin,Viktor,Kai'Sa,Alistar,0
ESPORTSTMNT02/1640323,Wukong,Nunu & Willump,Syndra,Samira,Alistar,Aatrox,Hecarim,Viktor,Kai'Sa,Gragas,1
ESPORTSTMNT02/1640330,Volibear,Nidalee,Akali,Jhin,Rell,Renekton,Lillia,Kassadin,Kai'Sa,Leona,1
ESPORTSTMNT02/1650355,Shen,Olaf,Orianna,Samira,Gragas,Sett,Nidalee,Lucian,Ezreal,Alistar,0
ESPORTSTMNT01/1691020,Quinn,Nidalee,Zoe,Aphelios,Thresh,Renekton,Lillia,Syndra,Kai'Sa,Galio,1
6981-9236,Renekton,Taliyah,Syndra,Samira,Maokai,Ornn,Nidalee,Akali,Kai'Sa,Alistar,0
6981-9237,Gnar,Nidalee,Jayce,Samira,Alistar,Aatrox,Graves,Sylas,Kai'Sa,Sett,1
6981-9238,Wukong,Kayn,LeBlanc,Jhin,Sett,Jayce,Lillia,Orianna,Kai'Sa,Galio,1
6983-9239,Fiora,Taliyah,Galio,Kai'Sa,Alistar,Aatrox,Nidalee,Pantheon,Samira,Leona,0
ESPORTSTMNT01/1691048,Camille,Taliyah,Orianna,Jhin,Nautilus,Gnar,Nidalee,Zoe,Aphelios,Rell,0
6983-9240,Gnar,Lillia,Syndra,Kai'Sa,Nautilus,Irelia,Hecarim,Orianna,Aphelios,Thresh,1
6921-9241,Gnar,Hecarim,Galio,Kai'Sa,Leona,Jayce,Pantheon,Orianna,Xayah,Alistar,1
6982-9242,Ornn,Graves,Orianna,Kai'Sa,Rell,Sett,Lillia,Lucian,Jhin,Alistar,0
ESPORTSTMNT01/1691071,Volibear,Nidalee,Yone,Samira,Alistar,Renekton,Lillia,Azir,Aphelios,Thresh,1
6921-9243,Renekton,Pantheon,Orianna,Xayah,Rakan,Gnar,Aatrox,Syndra,Samira,Alistar,0
6985-9244,Shen,Ekko,Twisted Fate,Kai'Sa,Sett,Renekton,Pantheon,Orianna,Samira,Alistar,1
6982-9245,Camille,Olaf,Akali,Aphelios,Thresh,Renekton,Taliyah,Orianna,Samira,Leona,0
6985-9287,Shen,Kayn,Twisted Fate,Kai'Sa,Galio,Renekton,Lillia,Zoe,Samira,Sett,0
6982-9247,Ornn,Olaf,Ekko,Kai'Sa,Nautilus,Sett,Kindred,Syndra,Draven,Thresh,1
6922-9246,Renekton,Sejuani,Syndra,Kai'Sa,Sett,Kennen,Graves,Orianna,Aphelios,Thresh,0
ESPORTSTMNT01/1691105,Gnar,Olaf,Azir,Samira,Galio,Gangplank,Graves,Zoe,Kai'Sa,Alistar,1
6922-9248,Ornn,Lee Sin,Zoe,Xayah,Leona,Renekton,Lillia,Yone,Kai'Sa,Sett,0
6985-9288,Jayce,Karthus,Galio,Aphelios,Thresh,Aatrox,Hecarim,Syndra,Kai'Sa,Sett,0
ESPORTSTMNT01/1691118,Gnar,Olaf,Zoe,Kai'Sa,Nautilus,Camille,Lillia,Azir,Samira,Rell,0
ESPORTSTMNT04/1480139,Aatrox,Olaf,Syndra,Kai'Sa,Leona,Malphite,Hecarim,Anivia,Miss Fortune,Maokai,1
ESPORTSTMNT04/1480142,Shen,Olaf,Syndra,Miss Fortune,Maokai,Aatrox,Sejuani,Cassiopeia,Ezreal,Thresh,0
ESPORTSTMNT04/1480143,Shen,Olaf,Seraphine,Samira,Alistar,Wukong,Graves,Cassiopeia,Kai'Sa,Leona,0
ESPORTSTMNT03/1671978,Renekton,Taliyah,Twisted Fate,Kai'Sa,Sett,Gnar,Graves,Orianna,Xayah,Leona,0
ESPORTSTMNT03/1671992,Camille,Nidalee,Syndra,Samira,Leona,Malphite,Graves,Twisted Fate,Kai'Sa,Sett,0
ESPORTSTMNT03/1672030,Renekton,Graves,Syndra,Kai'Sa,Galio,Ornn,Lillia,Yone,Lucian,Leona,0
ESPORTSTMNT03/1672038,Renekton,Taliyah,Yone,Samira,Leona,Ornn,Graves,Orianna,Kai'Sa,Rell,0
ESPORTSTMNT03/1672041,Renekton,Sejuani,Akali,Jhin,Alistar,Gangplank,Graves,Twisted Fate,Kai'Sa,Galio,1
ESPORTSTMNT01/1691379,Malphite,Graves,Azir,Samira,Alistar,Camille,Lillia,Viktor,Kai'Sa,Leona,1
6986-9251,Kennen,Graves,Ekko,Kai'Sa,Leona,Camille,Olaf,Viktor,Aphelios,Thresh,0
6986-9252,Camille,Taliyah,Lucian,Kai'Sa,Alistar,Aatrox,Graves,Orianna,Samira,Gragas,0
6986-9253,Renekton,Lillia,Sett,Tristana,Galio,Aatrox,Nidalee,Lucian,Xayah,Alistar,0
ESPORTSTMNT01/1691409,Quinn,Taliyah,Orianna,Kai'Sa,Alistar,Renekton,Nidalee,Galio,Samira,Leona,0
6987-9258,Ornn,Olaf,Viktor,Kai'Sa,Sett,Vladimir,Pantheon,Graves,Aphelios,Thresh,0
6923-9255,Ornn,Olaf,Syndra,Samira,Alistar,Aatrox,Pantheon,Galio,Kai'Sa,Sett,1
ESPORTSTMNT01/1691411,Camille,Taliyah,Twisted Fate,Miss Fortune,Maokai,Mordekaiser,Lee Sin,Cassiopeia,Kai'Sa,Alistar,0
6987-9259,Gragas,Pantheon,Akali,Kai'Sa,Sett,Gnar,Olaf,Jhin,Ziggs,Leona,0
6923-9260,Gnar,Olaf,Syndra,Miss Fortune,Sett,Jayce,Lillia,Lucian,Jhin,Leona,1
6923-9262,Gragas,Olaf,Ryze,Kai'Sa,Galio,Gnar,Graves,Twisted Fate,Jhin,Leona,0
6989-9261,Wukong,Karthus,Zoe,Kai'Sa,Sett,Aatrox,Olaf,Viktor,Jhin,Galio,0
6924-9263,Renekton,Nidalee,Orianna,Kai'Sa,Leona,Ornn,Hecarim,Viktor,Aphelios,Thresh,0
6990-9266,Renekton,Nidalee,Jayce,Jhin,Nautilus,Gnar,Lillia,Syndra,Kai'Sa,Alistar,0
ESPORTSTMNT01/1691433,Gragas,Graves,Zoe,Aphelios,Thresh,Aatrox,Olaf,Orianna,Kai'Sa,Sett,0
6989-9265,Renekton,Pantheon,Twisted Fate,Kai'Sa,Sett,Camille,Karthus,Orianna,Draven,Thresh,0
6924-9264,Jayce,Olaf,Rumble,Aphelios,Thresh,Gnar,Graves,Zoe,Kai'Sa,Alistar,0
ESPORTSTMNT01/1691436,Gnar,Pantheon,Galio,Samira,Alistar,Gangplank,Nidalee,Orianna,Kai'Sa,Sett,0
6990-9267,Renekton,Nidalee,Orianna,Ezreal,Alistar,Aatrox,Taliyah,Sett,Kai'Sa,Leona,0
6989-9270,Malphite,Olaf,Zoe,Kai'Sa,Alistar,Sylas,Sejuani,Yasuo,Miss Fortune,Sett,0
6924-9268,Gragas,Olaf,Orianna,Aphelios,Thresh,Aatrox,Graves,Rumble,Kai'Sa,Leona,0
6990-9269,Aatrox,Taliyah,Syndra,Kai'Sa,Sett,Fiora,Olaf,Orianna,Aphelios,Rakan,0
ESPORTSTMNT03/1682154,Sion,Kindred,Zoe,Samira,Alistar,Camille,Taliyah,Twisted Fate,Kai'Sa,Leona,1
ESPORTSTMNT03/1682203,Camille,Nidalee,Viktor,Jhin,Alistar,Renekton,Taliyah,Orianna,Samira,Leona,1
ESPORTSTMNT03/1682216,Riven,Olaf,Orianna,Kai'Sa,Rell,Urgot,Lillia,Irelia,Aphelios,Galio,1
